segment_name,rfm_score
ABOUT TO SLEEP,112
ABOUT TO SLEEP,113
ABOUT TO SLEEP,121
ABOUT TO SLEEP,122
ABOUT TO SLEEP,131
ABOUT TO SLEEP,211
ABOUT TO SLEEP,212
ABOUT TO SLEEP,221
RECENT CUSTOMER,311
RECENT CUSTOMER,312
RECENT CUSTOMER,313
CANNOT LOOSE THEM,123
CANNOT LOOSE THEM,132
CANNOT LOOSE THEM,133
CHAMPION,333
LOST CUSTOMER,111
LOYAL,233
LOYAL,323
LOYAL,332
POTENTIAL LOYALIST,223
POTENTIAL LOYALIST,232
POTENTIAL LOYALIST,322
POTENTIAL LOYALIST,331
AVERAGE,213
AVERAGE,222
AVERAGE,231
AVERAGE,321
